[2026-03-24T04:54:08.954Z] Server started/reloaded
[2026-03-24T04:55:43.451Z] Server started/reloaded
[2026-03-24T04:56:48.612Z] [REQUEST] GET /api/health
[2026-03-24T04:58:28.586Z] [REQUEST] GET /api/health
[2026-03-24T05:00:28.525Z] Server started/reloaded
[2026-03-24T05:03:35.499Z] Server started/reloaded
[2026-03-24T05:04:05.250Z] [REQUEST] GET /api/admin/resident-entries
[2026-03-24T05:04:05.261Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:04:05.266Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:04:05.291Z] [REQUEST] POST /api/ai/generate
[2026-03-24T05:04:05.319Z] [REQUEST] POST /api/ai/generate
[2026-03-24T05:04:05.339Z] [REQUEST] GET /api/admin/resident-entries
[2026-03-24T05:04:05.342Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:04:05.344Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:04:05.349Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:04:05.354Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:04:05.356Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:04:05.357Z] [REQUEST] GET /api/residents/flat/A/101
[2026-03-24T05:04:05.366Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:04:05.368Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:04:05.372Z] [REQUEST] GET /api/notifications/user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:04:05.375Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:04:05.381Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
